Aeollanthus rehmannii
Aeschynomene rehmannii
Albizia harveyi
Albuca sp.
Alectra sessiliflora
Alectra sp.
Alectra vogelii
Allophylus decipiens
Alloteropsis semialata
Aloe cryptopoda
Aloe dolomitica
Aloe hahnii
Aloe zebrina
Alysicarpus zeyheri
Ambrosia artemisiifolia
Anacampseros subnuda
Pseudophyllanthus ovalis
Andrachne sp.
Andropogon eucomus
Diectomis fastigiata
Andropogon sp.
Anthephora pubescens
Anthospermum rigidum
Antizoma angustifolia
Aponogeton junceus
Aptosimum indivisum
Archidium acanthophyllum
Archidium microthecium
Archidium ohioense
Argyrolobium humile
Aristea abyssinica
Aristida adscensionis
Digitaria aequiglumis
Aristida bipartita
Aristida congesta
Aristida diffusa
Aristida effusa
Aristida meridionalis
Aristida sciurus
Aristida sp.
Aristida stipitata
Asclepias aurea
Asclepias brevipes
Asclepias meliodora
Aspalathus microphylla
Asparagus flavicaulis
Asparagus laricinus
Asparagus schroederi
Asparagus setaceus
Asparagus virgatus
Aspilia mossambicensis
Asplenium cordatum
Asplenium theciferum
Afroaster peglerae
Asystasia mysorensis
Babiana bainesii
Balanites pedicellaris
Barbula eubryum
Barleria lancifolia
Barleria mackenii
Barleria prionitis
Barleria randii
Barleria rehmannii
Bartramia hampeana
Basananthe pedata
Berchemia zeyheri
Bergia capensis
Bergia decumbens
Berkheya echinacea
Berkheya radula
Berkheya radyeri
Berkheya zeyheri
Bewsia biflora
Blepharis diversispina
Blepharis serrulata
Blepharis sp.
Bolusanthus speciosus
Bonatea antennifera
Bonatea polypodantha
Boscia foetida
Bothriochloa radicans
Brachiaria brizantha
Brachiaria deflexa
Brachiaria serrata
Brachiaria sp.
Brachylaena huillensis
Brachylaena ilicifolia
Ceropegia barberae
Ceropegia brevipedicellata
Brassica elongata
Brassica rapa
Bridelia mollis
Bryum argenteum
Rhodobryum aubertii
Bryum sp.
Buddleja pulchella
Bulbine abyssinica
Bulbine angustifolia
Bulbine capitata
Bulbine narcissifolia
Bulbostylis boeckeleriana
Bulbostylis burchellii
Bulbostylis humilis
Bulbostylis pusilla
Bulbostylis scabricaulis
Bulbostylis schlechteri
Burkea africana
Burmannia madagascariensis
Buxus macowanii
Caloplaca luteoalba
Lecanora massula
Caloplaca phlogina
Calostephane divaricata
Calpurnia aurea
Campylopus atroluteus
Campylopus catarractilis
Campylopus robillardei
Campylopus savannarum
Campylopus sp.
Campylopus thwaitesii
Canthium suberosum
Cardiospermum corindum
Cardiospermum halicacabum
Carissa bispinosa
Carissa edulis
Cassia abbreviata
Cassipourea malosana
Catophractes alexandri
Celosia trigyna
Cenchrus ciliaris
Cenchrus spinifex
Cotula microglossa
Cephalaria pungens
Cephalaria zeyheriana
Sesamum trilobum
Ceropegia ampliata
Ceropegia carnosa
Chaenostoma leve
Dyschoriste setigera
Chamaecrista absus
Chamaecrista biensis
Chamaecrista mimosoides
Chamaecrista sp.
Chamaecrista stricta
Chascanum pinnatifidum
Doryopteris concolor
Cheilanthes deltoidea
Cheilanthes hirta
Cheilanthes buchananii
Cheilanthes inaequalis
Oeosporangium viride
Dysphania schraderiana
Chenopodium sp.
Heteroscyphus dubius
Noronhia battiscombei
Noronhia foveolata
Chloris gayana
Chloris virgata
Chlorophytum angulicaule
Chlorophytum aridum
Chlorophytum bowkeri
Chlorophytum galpinii
Chlorophytum krookianum
Aloe welwitschii
Cineraria alchemilloides
Clematis brachiata
Cleome angustifolia subsp. petersiana
Cleome monophylla
Sieruela oxyphylla
Sieruela rubella
Clerodendrum ternatum
Clutia pulchella
Clutia sp.
Coccinia rehmannii
Androcymbium burkei
Combretum apiculatum
Combretum hereroense
Combretum imberbe
Combretum molle
Combretum mossambicense
Combretum paniculatum
Combretum petrophilum
Commelina africana
Commelina eckloniana
Commelina erecta
Commelina forskaolii
Commelina imberbis
Commicarpus plumbagineus
Commicarpus helenae
Commiphora africana
Commiphora marlothii
Commiphora mollis
Convolvulus farinosus
Erigeron bonariensis
Erigeron canadensis
Conyza sumatrensis
Nidorella ulmifolia
Corchorus asplenifolius
Corchorus confusus
Corchorus kirkii
Corpuscularia taylori
Corrigiola litoralis
Cotyledon barbeyi
Crabbea angustifolia
Crabbea hirsuta
Crassula cymbiformis
Crassula pellucida
Crassula sarcocaulis
Crassula sp.
Crinum lugardiae
Crinum macowanii
Crossandra greenstockii
Crossandra zuluensis
Crotalaria capensis
Crotalaria globifera
Crotalaria podocarpa
Crotalaria recta
Crotalaria rhodesiae
Croton gratissimus
Cryptolepis cryptolepidioides
Cucumis africanus
Cucumis zeyheri
Cullen holubii
Cullen tomentosum
Cuscuta pentagona
Cussonia spicata
Cussonia transvaalensis
Cyanotis speciosa
Cycnium tubulosum
Cymbopogon caesius
Cymbopogon nardus
Cymbopogon sp.
Cynodon dactylon
Cyperus albostriatus
Cyperus cuspidatus
Cyperus cyperoides
Cyperus esculentus
Cyperus fastigiatus
Cyperus fulgens
Cyperus leptocladus
Cyperus longus
Cyperus sphaerocephalus
Cyperus rubicundus
Cyperus rupestris
Cyperus sphaerospermus
Cyperus squarrosus
Cyphia elata
Cyphostemma humile
Cyphostemma lanigerum
Cyphostemma oleraceum
Cyphostemma puberulum
Cyrtanthus breviflorus
Cyrtanthus sp.
